Taxon,Mean_SHAP,Published_Effect,Direction,SHAP_Direction,Rank,Agreement,RF_Importance,N_IBD_Studies
Roseburia,0.002907050017244349,-1.9956500000000001,IBD↓,IBD↑,19,False,0.0001187504848546558,5
Eubacterium_rectale_group,0.002247764648466975,-2.06311675,IBD↓,IBD↑,20,False,0.0013048536540192408,5
Acidaminococcus,0.0022145838136602355,-2.1212269999999998,IBD↓,IBD↑,21,False,0.0045672301639647,3
Ruminococcus,0.00208597752980043,-2.1705474999999996,IBD↓,IBD↑,22,False,0.0002317352648606369,5
Eubacterium_eligens_group,0.0020228165331533706,-1.4422656666666667,IBD↓,IBD↓,23,True,0.0009424178301887694,4
Bifidobacterium,0.0019806292950249335,-2.1480267499999997,IBD↓,IBD↑,24,False,0.0006292534712266397,5
Campylobacter,0.0019681877257294654,2.867254,IBD↑,IBD↓,25,False,0.0001189247547895596,2
Enterobacter,0.0019238168293336578,2.867254,IBD↑,IBD↓,26,False,0.00013369220842758092,2
Coprococcus,0.0010032762260390815,-1.3703545,IBD↓,IBD↓,27,True,0.0015626461821347678,5
Subdoligranulum,0.0009902785461334592,-2.06311675,IBD↓,IBD↓,28,True,0.005566099850257207,5
Adlercreutzia,0.0009263343793706677,-1.05135,IBD↓,IBD↑,29,False,0.00016045964864890838,4
Collinsella,0.0008816757569133286,-1.0611245,IBD↓,IBD↓,30,True,0.00015280773220706216,5
Gemmiger,0.0007051093102933688,-1.4422656666666667,IBD↓,IBD↓,31,True,0.0001261968718734433,4
Butyricimonas,0.0006977630521805212,-1.283636,IBD↓,IBD↓,32,True,0.005740805495176355,3
Holdemanella,0.0006542776514678918,-0.870054,IBD↓,IBD↑,33,False,0.04795149554021594,4
Eggerthella,0.000570152267608415,2.748218,IBD↑,IBD↑,34,True,0.000897552201438602,2
Barnesiella,0.00054240515499469,-1.216265,IBD↓,IBD↑,35,False,0.00047277668712247215,3
Butyricicoccus,0.00033284246860284074,-0.7319303333333332,IBD↓,IBD↓,36,True,0.00011187063223192646,4
Odoribacter,0.0003150590862365876,-1.6423575000000001,IBD↓,IBD↓,37,True,0.0020074879655646517,3
Dorea,0.00031213817153789424,-0.6240315000000001,IBD↓,IBD↑,38,False,0.00011179027782420857,5
Oscillibacter,0.00031049199650426754,-0.78404,IBD↓,IBD↑,39,False,6.119943506869237e-05,3
Anaerostipes,0.0002826736055582156,-1.0086625,IBD↓,IBD↑,40,False,0.004383577471487869,3
Fusicatenibacter,0.0002451304302579765,-0.78404,IBD↓,IBD↑,41,False,0.004836468847576232,2
Parabacteroides,0.000220107279805298,-0.4523483333333333,IBD↓,IBD↑,42,False,0.0011812765960262106,4
Eubacterium_hallii_group,0.00021244207200505548,-1.20366975,IBD↓,IBD↓,43,True,0.00017735874978843573,5
Slackia,0.0002100980119481042,2.005459,IBD↑,IBD↑,44,True,0.0,2
Blautia,0.00020677854900707872,-0.88682225,IBD↓,IBD↑,45,False,1.0975884008752894e-05,5
Eubacterium_ventriosum_group,0.00019952483054452714,-1.203118,IBD↓,IBD↑,46,False,0.0001832802694650749,4
Lactobacillus,0.00017043524617751588,1.8463055,IBD↑,IBD↑,47,True,0.1193253017466749,3
Butyrivibrio,0.00012049682767144883,-1.158204,IBD↓,IBD↑,48,False,0.014601098986758999,4
Coprobacillus,0.00010444179136038068,0.451597,IBD↑,IBD↑,49,True,0.006032687685235417,3
Dialister,9.870967405316702e-05,-0.536917,IBD↓,IBD↓,50,True,0.003062298428796943,4
Lachnospiracea_incertae_sedis,9.700875042999664e-05,2.060682,IBD↑,IBD↑,51,True,0.018553630319976238,2
Fusobacterium,7.931539793295041e-05,2.126807,IBD↑,IBD↓,52,False,0.004073614560345751,5
Anaerococcus,7.322638443732207e-05,2.385044,IBD↑,IBD↓,53,False,0.013786192059054542,2
Actinomyces,5.52764478764478e-05,0.78768,IBD↑,IBD↓,54,False,0.0,2
Catenibacterium,3.114284833788963e-05,0.6751585,IBD↑,IBD↓,55,False,0.000180734432039719,3
Enterococcus,2.7970657276995317e-05,1.8902575,IBD↑,IBD↓,56,False,0.025065716991126006,3
Clostridium_XVIII,1.693143263167242e-05,1.052237,IBD↑,IBD↓,57,False,0.0004427450189542746,4
Erysipelotrichaceae_incertae_sedis,1.2083355353657898e-05,0.36133966666666667,IBD↑,IBD↓,58,False,0.0005361186330485167,4
Streptococcus,0.0,1.7003397500000001,IBD↑,IBD↓,59,False,0.0008881611227531825,5
Bacteroides,0.0,0.5699412500000001,IBD↑,IBD↓,60,False,0.008349104796228003,5
